ZIP_CODE,2020-04-03,2020-04-04,2020-04-05,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22
11229,107,22,25,95,38,71,40,7,70,30,39,65,46,54,18,21,15,31,13,25,40,26,1574,-1544,19,4,13,12,16,16,5,12,9,10,13,27,12,12,6,10,9,8,11,8,1,5,2,3,3,8,3,12,24,93,48,57,12,0,2,0,4,1,5,8,1,4,5,0,2,1,1,2,1,2,4,1,4,1,2,0,0,1,3,1,2,0,8,4,1,2,8,5,0,2,1,1,2,5,5,2,2,6,6,2,3,2,1,2,1,4,0,4,-1,4,3,2,1,4,4,4,2,4,10,3,5,1,1,3,2,3,3,1,4,1,2,1,3,0,2,1
11230,217,55,43,108,35,78,54,12,68,28,38,47,49,47,40,23,11,36,19,37,52,27,2098,-2056,37,13,30,23,14,23,24,19,16,23,12,16,14,10,10,25,13,24,16,14,9,12,6,10,23,6,10,3,5,11,7,13,8,9,7,3,8,6,10,10,2,5,2,2,3,5,5,0,3,1,5,5,6,1,4,3,2,2,1,5,2,2,14,5,5,3,4,8,0,0,1,2,1,5,6,0,0,5,7,5,2,2,0,8,0,2,2,4,4,1,8,6,5,1,3,3,3,1,4,4,0,4,5,6,3,1,3,3,0,0,1,0,4,5,5,1
11231,27,7,8,22,6,20,6,4,14,6,7,4,7,9,11,4,2,12,2,14,14,4,509,-502,1,0,2,5,1,2,6,3,5,1,0,2,4,1,1,2,2,5,4,3,1,1,2,0,1,4,2,1,0,6,6,1,2,0,0,-1,0,1,0,0,2,0,0,1,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,1,1,0,4,2,0,0,1,0,0,0,0,2,2,1,0,0,0,1,1,1,0,1,0,1,1,1,0,0,1,1,2,3,0,1,0,0,0,1,0,1,2,2,0,-2,1,0,2,1,1,1,0,1,1,1,1,0
11232,56,14,14,24,10,19,21,5,19,20,12,4,13,6,7,8,5,9,3,11,10,5,346,-333,5,4,6,0,5,8,5,3,3,4,3,8,4,2,0,5,5,9,10,3,5,1,2,2,2,4,3,3,1,3,3,1,3,1,-1,1,2,0,2,5,1,0,1,4,2,2,0,2,0,2,3,3,3,3,2,0,0,3,1,1,4,2,2,1,1,0,4,1,1,5,-1,1,0,2,0,0,1,1,1,0,3,0,0,3,0,2,-1,2,0,0,4,0,1,2,0,1,1,2,1,4,0,2,1,5,1,2,6,2,2,1,1,0,2,0,2,0
11233,77,23,31,56,16,53,53,5,52,25,32,18,51,37,28,20,22,20,15,25,46,24,1083,-1050,16,10,17,23,7,20,15,7,12,8,7,9,11,5,0,0,4,9,6,7,4,4,6,-1,6,8,2,1,5,2,2,4,3,2,5,5,5,5,2,5,1,1,1,0,0,2,1,1,1,4,5,3,4,5,0,0,2,3,4,6,4,3,8,11,4,2,2,7,1,2,1,4,1,2,1,1,3,2,1,1,4,1,0,5,0,1,3,3,2,0,3,3,1,5,2,2,3,3,2,2,2,2,1,1,1,5,2,3,1,5,0,0,2,0,3,1
11234,167,43,50,135,48,137,85,15,105,40,71,157,66,50,35,34,24,44,25,61,57,33,2133,-2087,16,17,20,13,23,23,10,6,11,8,8,19,18,5,6,7,7,14,16,3,8,3,6,4,3,5,6,2,4,5,6,8,8,3,3,5,4,4,3,3,3,3,1,0,4,2,4,1,0,2,5,2,1,1,6,2,5,5,1,1,0,2,2,2,1,9,1,6,1,1,4,3,0,2,1,4,3,1,6,6,7,5,1,1,0,2,-1,5,0,1,2,1,7,5,2,4,3,5,2,8,4,3,3,2,1,5,4,3,3,8,2,1,3,3,2,3
11235,73,38,28,101,42,127,67,19,68,43,38,64,82,68,52,35,22,28,19,51,42,38,1858,-1806,40,28,32,19,17,32,17,13,19,17,6,12,10,53,4,6,11,14,21,10,3,7,5,2,5,6,9,3,1,8,5,7,12,11,4,-2,5,6,4,6,3,5,1,2,1,4,1,3,2,0,5,3,3,2,3,0,1,3,7,2,2,4,9,3,1,5,1,7,4,1,1,3,0,5,6,2,1,9,3,4,4,2,2,6,0,7,0,4,0,6,4,3,3,6,2,5,0,6,6,6,4,6,3,1,4,5,5,4,4,9,0,10,3,6,3,8
11236,202,58,52,143,67,131,88,27,129,39,87,119,79,70,53,68,31,40,23,68,61,46,2170,-2110,32,15,31,24,23,24,22,9,20,17,5,29,30,32,4,10,11,22,11,14,9,8,8,5,7,4,9,10,7,13,16,13,7,8,5,6,4,3,5,11,0,6,5,3,5,14,9,8,2,1,6,7,6,3,14,6,2,2,3,1,2,3,15,7,5,3,3,13,0,2,3,4,5,2,2,1,4,3,3,3,1,1,0,4,2,0,5,4,1,0,6,3,7,6,7,1,1,2,7,4,8,3,5,3,1,1,3,2,1,3,2,1,3,4,1,2
11237,51,23,16,46,14,41,36,10,30,9,21,8,34,24,10,10,14,9,6,22,29,16,642,-609,20,3,13,13,23,16,13,8,4,12,8,4,10,4,1,5,3,12,14,4,6,6,6,0,2,2,4,2,1,2,10,5,10,1,5,0,7,5,2,1,2,6,4,4,2,3,2,2,2,2,0,2,1,4,3,2,2,1,4,1,1,2,2,0,4,3,0,2,0,1,4,6,2,1,7,2,5,0,2,6,2,2,3,6,-1,1,-3,4,1,1,3,6,1,2,0,0,0,1,2,3,1,1,1,2,3,1,4,4,1,3,0,3,1,3,1,2
11238,70,19,11,56,11,31,26,5,36,6,12,10,15,18,8,12,6,12,5,19,15,8,793,-778,7,6,12,4,3,6,7,3,6,2,3,7,10,4,3,1,6,10,13,2,0,3,6,0,5,4,1,1,1,3,1,2,1,1,1,6,4,1,4,8,4,0,2,2,2,3,1,4,3,2,2,1,3,0,1,2,0,0,2,2,0,2,2,2,3,0,6,5,0,0,0,2,3,1,3,2,2,2,0,0,2,0,2,2,0,2,-1,4,1,2,2,1,1,1,0,2,2,1,2,3,4,1,1,1,0,1,1,0,2,3,1,0,3,0,1,3
